PATHROW	MIICA06_P1	MIICA11_P1	MIICA06_P2	MIICA11_P2	ExtraScene
3636	20061030	20111028	20070526	20110606	20100705
3637	20050707	20110622	20050925	20111012	20100705
3638	20060507	20110521	20060928	20111012	20100619
3726	20050730	20110731	20060903	20100930	20111003
3727	20050714	20110629	20060903	20100930	20111003
3728	20050714	20110715	20060903	20100930	20111003
3729	20060514	20110512	20060903	20100930	20110816
3730	20060514	20110512	20060903	20100930	20110816
3731	20050714	20110715	20060903	20110816	20100930
3732	20060903	20100813	20070821	20100930	20110715
3733	20051119	20111104	20070704	20110715	20100813
3734	20061106	20101101	20070618	20110715	20100813
3735	20060530	20100525	20060919	20101117	20100813
3736	20060530	20110528	20060919	20111019	20110715
3737	20050916	20110917	20060615	20110528	20110715
3738	20060412	20110512	20060919	20110917	20110731
3826	20041006	20110924	20050705	20110706	20110908
3827	20041006	20110924	20050806	20100820	20110908
3828	20041006	20110924	20050721	20090716	20100820
3829	20050721	20100820	20050907	20090918	20110924
3830	20050721	20100719	20060926	20100921	20110823
3831	20060622	20110722	20060926	20100921	20110823
3832	20060622	20100703	20061012	20100921	20100905
3833	20061012	20110924	20070625	20110722	20100905
3834	20061012	20110924	20070625	20110722	20100905
3835	20061012	20111010	20070508	20110503	20110807
3836	20050705	20110620	20060113	20110127	20110807
3837	20050619	20110604	20060129	20110127	20110807
3838	20050619	20110604	20060129	20110127	20110807
3926	20050712	20110729	20060901	20110915	20100827
3927	20050712	20110729	20060901	20100912	20100827
3928	20050712	20110729	20060901	20100928	20100827
3929	20050712	20110729	20050914	20100928	20100912
3930	20050930	20100928	20060613	20110729	20110814
3931	20050712	20110729	20050930	20100928	20110814
3932	20050930	20100928	20060715	20110627	20100811
3933	20070616	20110627	20070920	20100928	20100811
3934	20050829	20100811	20051117	20111102	20100928
3935	20050712	20110627	20051117	20111102	20110830
3936	20060816	20110830	20061120	20111102	20110713
3937	20060528	20110526	20061104	20111102	20110830
4026	20050804	20110821	20051023	20101021	20110906
4027	20050820	20110821	20051023	20101021	20110906
4028	20050719	20100717	20051023	20101021	20110906
4029	20050820	20100818	20051023	20101021	20100802
4030	20070709	20110720	20070911	20110922	20100818
4031	20060620	20110720	20060924	20110922	20100802
4032	20070709	20110720	20070927	20110922	20100903
4033	20060924	20100919	20070709	20110720	20100903
4034	20060620	20100701	20060924	20100919	20100903
4035	20050617	20100701	20050905	20100919	20100903
4036	20050703	20100701	20051007	20111008	20100903
4037	20060212	20110210	20060706	20100717	20110805
4126	20040925	20110929	20050827	20100825	20100724
4127	20060814	20100825	20061001	20110929	20100724
4128	20060814	20100825	20061001	20110929	20100724
4129	20050726	20100724	20050928	20110929	20110812
4130	20050928	20110929	20060713	20100724	20110812
4131	20050928	20110929	20070630	20110711	20110812
4132	20051014	20101012	20060713	20100724	20100926
4133	20051014	20111031	20060713	20110625	20100926
4134	20051014	20111031	20060814	20110812	20100926
4135	20051014	20111031	20060713	20100809	20100926
4136	20061204	20101113	20070513	20110524	20100926
4137	20070310	20110305	20070902	20110828	20100926
4226	20050530	20100613	20060805	20100816	20110904
4227	20050530	20100613	20070723	20110819	20110904
4228	20050919	20110904	20060720	20100715	20100816
4229	20050717	20110803	20050919	20110920	20100816
4230	20050717	20110718	20050903	20110904	20100816
4231	20050717	20110718	20050903	20110904	20100816
4232	20061008	20111022	20070808	20110718	20100816
4233	20050701	20100715	20051005	20111022	20100816
4234	20060821	20100816	20061024	20111022	20100901
4235	20050802	20110819	20060618	20100629	20100731
4236	20060210	20110123	20060704	20110702	20110718
4326	20050926	20090921	20060929	20110911	20110826
4327	20060727	20100807	20060929	20110911	20110826
4328	20060727	20100807	20060929	20110911	20110826
4329	20060727	20100807	20060929	20100924	20100823
4330	20060812	20110826	20060929	20100924	20100823
4331	20060711	20110725	20060929	20100924	20100823
4332	20070714	20110725	20071002	20110927	20110810
4333	20060727	20100722	20071002	20110927	20110810
4334	20050724	20110725	20051012	20111013	20100503
4335	20050708	20110725	20051028	20111029	20100503
4336	20051028	20111029	20060201	20100212	20100823
4426	20050731	20110801	20061022	20101017	20110817
4427	20060702	20100627	20061022	20101017	20110801
4428	20060718	20100627	20061022	20101017	20110801
4429	20061022	20101001	20070705	20110614	20100814
4430	20061022	20101001	20070907	20110902	20100814
4431	20050715	20100729	20061022	20111020	20100814
4432	20060718	20100729	20061022	20101001	20110902
4433	20060123	20110121	20060616	20110614	20110918
4434	20060616	20100611	20060920	20110918	20091115
4435	20050120	20110121	20060616	20100611	20110918
4526	20060927	20091005	20070728	20090701	20090530
4527	20050620	20090701	20060927	20091005	20090802
4528	20050620	20110621	20060927	20110909	20110723
4529	20050620	20090701	20050908	20090818	20090530
4530	20060623	20100704	20060826	20100906	20100720
4531	20060623	20100704	20061029	20100906	20100720
4532	20060623	20100704	20061013	20100906	20060826
4533	20050924	20100906	20060725	20100704	20110504
4626	20060716	20110730			
4627	20060716	20110730			
4628	20060513	20090521			20090910
4629	20050729	20100812			
4630	20060817	20100812			
4631	20050830	20090926			
4632	20050830	20110831	20051017	20111018	20090622
4726	20060723	20110705		20101006	20110705
4727	20060723	20110705		20101006	20110705
4728	20060707	20110705		20101006	20110705
4729	20060707	20090629			
4826	20050727	20100725			20110101
4827	20050727	20100725			2010013
