PWSID,all_violations,health_violations
NJ1206001,2,0
NJ1207001,3,1
NJ1209002,2,2
NJ1213002,20,0
NJ1213313,1,1
NJ1213349,1,0
NJ1213353,1,0
NJ1214001,3,0
NJ1216001,17,0
NJ1219001,2,0
NJ1221004,5,0
NJ1221306,1,0
NJ1223001,2,0
NJ1224001,3,1
NJ1225001,2,0
NJ1225300,1,1
NJ1302300,1,0
NJ1304001,18,0
NJ1305001,5,1
NJ1306001,1,0
NJ1308001,1,0
NJ1309306,1,0
NJ1309310,2,2
NJ1309312,2,2
NJ1309313,2,2
NJ1309321,53,1
NJ1309336,3,0
NJ1309337,3,1
NJ1309409,1,0
NJ1309411,1,0
NJ1309415,2,2
NJ1309417,8,0
NJ1309424,1,0
NJ1309426,3,3
NJ1311001,1,0
NJ1312001,1,0
NJ1315001,3,0
NJ1316301,1,0
NJ1316304,1,1
NJ1316312,1,0
NJ1316325,2,1
NJ1316331,1,0
NJ1316367,3,0
NJ1316369,3,0
NJ1319003,1,0
NJ1319326,2,1
NJ1319332,1,0
NJ1319333,1,0
NJ1319354,1,0
NJ1319384,1,0
NJ1319397,1,0
NJ1319408,3,1
NJ1319454,2,2
NJ1319474,1,0
NJ1319479,1,0
NJ1319484,1,0
NJ1319492,1,0
NJ1319494,1,0
NJ1321001,22,2
NJ1322001,2,0
NJ1326310,1,0
NJ1326313,1,0
NJ1326347,1,0
NJ1326349,1,0
NJ1326371,1,0
NJ1326375,2,1
NJ1327001,2,0
NJ1328002,3,1
NJ1328003,19,0
NJ1329001,3,1
NJ1330002,13,3
NJ1330003,8,1
NJ1330004,6,0
NJ1331001,2,0
NJ1332301,3,0
NJ1332305,1,1
NJ1332310,1,1
NJ1332313,2,0
NJ1332323,1,1
NJ1332340,1,1
NJ1332341,1,0
NJ1332350,2,1
NJ1332356,1,1
NJ1332360,1,0
NJ1332365,1,1
NJ1332379,1,0
NJ1332384,2,0
NJ1332386,1,0
NJ1332387,3,0
NJ1332389,1,0
NJ1340001,20,1
NJ1341001,5,0
NJ1344001,1,0
NJ1345001,3,0
NJ1351313,4,2
NJ1351315,2,1
NJ1351322,18,0
NJ1351326,2,2
NJ1351329,2,1
NJ1351331,1,0
NJ1351332,1,0
NJ1351337,2,0
NJ1352003,2,1
NJ1352005,1,0
NJ1352309,1,0
NJ1352331,1,0
NJ1352340,1,0
NJ1352343,1,0
NJ1401001,3,0
NJ1401002,2,0
NJ1402303,9,0
NJ1402305,10,0
NJ1404001,1,0
NJ1406002,1,1
NJ1406304,20,0
NJ1406324,2,0
NJ1406331,2,2
NJ1407304,3,3
NJ1407306,1,1
NJ1407313,3,0
NJ1407321,15,0
NJ1407332,1,1
NJ1407334,1,1
NJ1407335,2,2
NJ1408001,18,0
NJ1409001,3,1
NJ1410001,21,0
NJ1410300,16,0
NJ1413300,14,0
NJ1413303,1,1
NJ1413309,3,0
NJ1413315,1,1
NJ1414003,16,0
NJ1414006,1,0
NJ1414011,3,2
NJ1414014,1,0
NJ1414016,2,0
NJ1414302,3,2
NJ1414303,1,0
NJ1414309,6,0
NJ1414321,1,0
NJ1414340,3,1
NJ1414349,1,0
NJ1414350,2,2
NJ1414355,3,2
NJ1414361,2,0
NJ1414366,2,0
NJ1414377,1,1
NJ1414386,1,0
NJ1414406,4,1
NJ1414419,1,0
NJ1415001,1,0
NJ1415002,4,2
NJ1415301,2,0
NJ1415305,1,1
NJ1415307,18,1
NJ1418002,1,0
NJ1419303,1,0
NJ1419305,1,0
NJ1419306,1,0
NJ1420001,3,0
NJ1420306,1,1
NJ1421003,1,0
NJ1421305,2,0
NJ1421321,2,0
NJ1421340,1,0
NJ1421347,18,0
NJ1422312,1,0
NJ1424001,47,0
NJ1424300,7,0
NJ1426002,1,0
NJ1426005,1,0
NJ1427001,3,0
NJ1427002,57,0
NJ1427005,22,0
NJ1427006,17,0
NJ1427008,1,0
NJ1427010,1,0
NJ1427012,3,0
NJ1427013,1,0
NJ1427014,4,0
NJ1427015,5,0
NJ1427018,2,0
NJ1427306,1,0
NJ1427308,1,0
NJ1427310,1,0
NJ1427311,4,0
NJ1427319,1,0
NJ1427334,3,2
NJ1427340,2,0
NJ1427354,1,0
NJ1427362,1,0
NJ1427376,1,0
NJ1427381,1,1
NJ1427384,1,0
NJ1427386,2,2
NJ1427395,1,1
NJ1427399,1,0
NJ1427400,1,0
NJ1427401,2,0
NJ1427403,2,2
NJ1427404,1,1
NJ1427405,2,2
NJ1427412,2,0
NJ1427415,6,3
NJ1427418,1,0
NJ1427419,1,1
NJ1428001,1,0
NJ1428300,23,4
NJ1429001,2,0
NJ1429302,19,0
NJ1429307,1,0
NJ1431001,3,0
NJ1432001,30,0
NJ1432003,2,1
NJ1432311,2,1
NJ1432319,1,1
NJ1432343,1,0
NJ1432347,2,0
NJ1432349,34,0
NJ1432351,2,2
NJ1433001,1,0
NJ1433303,1,0
NJ1434001,2,1
NJ1435002,5,0
NJ1435310,14,4
NJ1435313,1,1
NJ1435318,14,0
NJ1435322,1,1
NJ1435323,2,0
NJ1435331,1,1
NJ1435346,1,0
NJ1436002,16,0
NJ1436003,2,0
NJ1436300,3,2
NJ1436304,20,0
NJ1436311,15,0
NJ1436324,3,0
NJ1436338,1,1
NJ1436355,1,0
NJ1436360,4,0
NJ1436363,1,1
NJ1436369,1,0
NJ1436385,5,0
NJ1436386,17,0
NJ1438001,2,1
NJ1438003,1,0
NJ1438004,18,0
NJ1438006,3,3
NJ1438300,1,0
NJ1438310,1,0
NJ1438323,1,1
NJ1438325,19,0
NJ1438328,2,1
NJ1438340,2,0
NJ1438341,3,1
NJ1438343,4,3
NJ1438346,3,0
NJ1439001,2,0
NJ1501001,5,0
NJ1503001,1,1
NJ1505002,12,0
NJ1505306,1,1
NJ1505308,1,1
NJ1505312,5,5
NJ1505324,16,0
NJ1505342,1,1
NJ1505360,2,0
NJ1505382,1,0
NJ1505390,1,0
NJ1506001,2,0
NJ1507335,1,0
NJ1508305,1,0
NJ1508317,1,1
NJ1508322,1,1
NJ1508323,3,0
NJ1510001,1,1
NJ1511011,3,0
NJ1511016,1,0
NJ1511309,1,0
NJ1511316,1,1
NJ1511327,1,0
NJ1511363,4,2
NJ1511404,4,3
NJ1511415,22,0
NJ1511426,1,1
NJ1511429,17,0
NJ1511430,1,1
NJ1512001,19,1
NJ1513001,1,0
NJ1514002,1,0
NJ1514342,1,0
NJ1515001,1,0
NJ1516363,1,0
NJ1517002,1,0
NJ1517003,1,0
NJ1517004,1,0
NJ1517006,2,0
NJ1518005,2,0
NJ1518328,2,1
NJ1518329,1,1
NJ1518335,1,1
NJ1518336,4,3
NJ1518337,1,1
NJ1518360,1,0
NJ1518365,1,0
NJ1520001,2,0
NJ1520304,1,0
NJ1520316,1,0
NJ1522001,1,0
NJ1523001,13,0
NJ1523002,1,0
NJ1523321,1,0
NJ1523329,1,0
NJ1524001,15,1
NJ1526001,1,0
NJ1530004,22,0
NJ1530005,2,0
NJ1530331,1,1
NJ1530389,2,1
NJ1530391,1,0
NJ1530392,3,0
NJ1531001,2,0
NJ1533001,3,0
NJ1601001,1,0
NJ1602301,54,0
NJ1602307,1,1
NJ1603304,1,0
NJ1605303,1,0
NJ1609001,2,0
NJ1611002,1,0
NJ1611304,1,1
NJ1611305,1,1
NJ1611306,2,2
NJ1611310,1,0
NJ1611313,1,1
NJ1611318,2,2
NJ1611324,1,0
NJ1611369,1,1
NJ1611370,4,0
NJ1612301,1,0
NJ1613001,6,0
NJ1615001,17,0
NJ1615002,2,0
NJ1615003,1,1
NJ1615006,3,0
NJ1615009,1,0
NJ1615012,17,1
NJ1615014,2,0
NJ1615016,7,0
NJ1615017,1,0
NJ1615018,2,0
NJ1615020,1,0
NJ1615308,2,0
NJ1615310,3,3
NJ1615319,4,2
NJ1615320,1,1
NJ1615331,1,0
NJ1615335,1,0
NJ1615337,7,0
NJ1615339,2,1
NJ1615340,1,1
NJ1615344,2,2
NJ1615360,1,1
NJ1615368,1,0
NJ1615369,2,0
NJ1615370,1,0
NJ1615374,2,2
NJ1615379,2,1
NJ1615381,3,1
NJ1615383,1,1
NJ1615384,4,0
NJ1615385,1,0
NJ1615387,1,0
NJ1615389,3,1
NJ1615390,1,0
NJ1615391,20,0
NJ1615397,1,0
NJ1615398,2,2
NJ1615399,1,0
NJ1615400,1,0
NJ1615411,2,2
NJ1615416,1,1
NJ1615418,1,1
NJ1615419,1,0
NJ1615421,3,1
NJ1615422,1,0
NJ1615434,1,1
NJ1615442,4,1
NJ1615447,1,0
NJ1615449,1,1
NJ1615450,1,0
NJ1616001,1,1
NJ1701326,1,0
NJ1702001,1,1
NJ1703305,1,0
NJ1704001,2,2
NJ1704304,1,1
NJ1704306,1,1
NJ1704307,1,0
NJ1704315,1,1
NJ1704316,2,1
NJ1706001,1,0
NJ1706300,6,0
NJ1706303,47,3
NJ1706305,2,0
NJ1706309,2,0
NJ1706310,1,0
NJ1708001,65,1
NJ1708300,5,3
NJ1709308,2,2
NJ1709324,1,0
NJ1709326,1,1
NJ1709331,2,1
NJ1709332,1,1
NJ1710304,17,1
NJ1710306,1,1
NJ1710311,1,0
NJ1710312,1,0
NJ1711300,2,2
NJ1711302,1,0
NJ1712001,9,0
NJ1713314,1,0
NJ1714001,9,0
NJ1714003,2,0
NJ1714300,17,0
NJ1714302,1,0
NJ1714309,1,1
NJ1714311,2,1
NJ1714326,1,1
NJ1715001,7,0
NJ1801307,2,2
NJ1801311,2,1
NJ1805396,1,0
NJ1805400,1,0
NJ1805401,2,0
NJ1806336,1,1
NJ1806359,8,0
NJ1808001,2,1
NJ1808318,7,0
NJ1808341,1,1
NJ1808342,2,1
NJ1808360,2,2
NJ1808373,1,0
NJ1808374,11,8
NJ1810309,2,0
NJ1810342,1,1
NJ1810355,1,0
NJ1813301,1,0
NJ1813310,1,1
NJ1813322,1,0
NJ1813325,1,1
NJ1815300,1,0
NJ1817001,1,0
NJ1902005,2,0
NJ1902007,3,0
NJ1902300,1,1
NJ1902304,1,0
NJ1902312,1,1
NJ1902317,2,0
NJ1902320,3,1
NJ1902346,2,1
NJ1902352,1,1
NJ1902364,2,0
NJ1902366,34,0
NJ1904001,1,0
NJ1904003,1,0
NJ1904004,11,6
NJ1904006,2,1
NJ1904007,1,1
NJ1904009,3,2
NJ1904306,1,0
NJ1904316,3,2
NJ1904318,2,1
NJ1904320,2,1
NJ1904325,1,0
NJ1904342,1,1
NJ1904343,3,2
NJ1904351,2,2
NJ1904357,1,0
NJ1904361,1,1
NJ1904362,1,1
NJ1905002,1,0
NJ1905302,4,2
NJ1905318,1,0
NJ1905320,3,2
NJ1905322,2,0
NJ1905325,5,0
NJ1905333,3,2
NJ1905338,1,1
NJ1905342,2,2
NJ1905343,1,1
NJ1905344,3,2
NJ1905345,1,1
NJ1905351,1,0
NJ1905355,1,0
NJ1905356,1,1
NJ1906001,4,0
NJ1906302,1,1
NJ1906304,1,1
NJ1906314,1,0
NJ1906316,1,0
NJ1907001,1,0
NJ1907306,1,1
NJ1907307,4,3
NJ1907309,2,1
NJ1908300,1,0
NJ1908308,2,1
NJ1908310,2,1
NJ1908317,1,0
NJ1908319,6,5
NJ1908326,4,2
NJ1909001,2,0
NJ1910303,1,1
NJ1910313,1,1
NJ1910319,1,1
NJ1910320,1,1
NJ1910323,1,0
NJ1910327,1,0
NJ1910328,1,0
NJ1910333,1,1
NJ1910334,1,0
NJ1910338,1,1
NJ1910341,2,2
NJ1911001,2,0
NJ1911002,3,0
NJ1911003,1,0
NJ1911004,1,0
NJ1911301,1,0
NJ1911302,1,1
NJ1911311,2,1
NJ1911319,3,1
NJ1911344,1,0
NJ1911349,2,0
NJ1911353,1,0
NJ1912001,40,1
NJ1912007,1,0
NJ1912300,1,0
NJ1912307,1,1
NJ1912329,1,1
NJ1913306,7,0
NJ1913312,1,1
NJ1913320,2,1
NJ1913321,3,3
NJ1913323,1,1
NJ1914308,1,1
NJ1914313,1,0
NJ1914316,2,1
NJ1914317,2,0
NJ1914319,1,1
NJ1914320,2,1
NJ1914332,3,1
NJ1914333,4,3
NJ1914334,3,3
NJ1914335,1,1
NJ1914336,1,1
NJ1914338,1,0
NJ1915001,1,0
NJ1915304,1,0
NJ1916001,4,0
NJ1917300,1,0
NJ1917302,1,0
NJ1917303,2,0
NJ1917304,1,0
NJ1917305,1,0
NJ1917315,2,2
NJ1917316,2,0
NJ1917317,1,1
NJ1917321,20,0
NJ1917326,2,1
NJ1917331,1,0
NJ1917335,1,0
NJ1918003,1,0
NJ1918004,4,1
NJ1918013,1,1
NJ1918309,2,2
NJ1918312,1,0
NJ1918339,2,1
NJ1918350,1,0
NJ1918352,2,1
NJ1919001,20,0
NJ1920001,58,0
NJ1920301,1,0
NJ1920302,2,0
NJ1920309,3,3
NJ1920320,1,1
NJ1920328,1,0
NJ1920329,1,0
NJ1920336,1,1
NJ1920337,2,2
NJ1921001,11,6
NJ1922011,2,0
NJ1922022,1,1
NJ1922304,3,1
NJ1922325,1,0
NJ1922337,1,0
NJ1922378,2,1
NJ1922384,2,1
NJ1922387,1,1
NJ1922390,1,1
NJ1922394,2,1
NJ1922396,1,1
NJ1922397,1,1
NJ1922400,38,0
NJ1922401,1,0
NJ1922404,3,3
NJ1922406,1,0
NJ1922407,1,0
NJ1922408,1,0
NJ1923309,1,1
NJ1924002,2,0
NJ1924305,2,0
NJ1924311,2,1
NJ1924317,2,2
NJ1924322,1,0
NJ1924329,2,0
NJ1924335,8,3
NJ1924338,1,0
NJ1924346,18,0
NJ1924348,1,1
NJ1924350,1,0
NJ1924353,8,1
NJ1924357,1,1
NJ1924362,1,1
NJ1924363,2,2
NJ1924365,1,1
NJ1924366,4,3
NJ1924369,1,0
NJ2011315,1,1
NJ2016300,4,0
NJ2021001,2,1
NJ2101001,2,0
NJ2101302,1,1
NJ2101314,3,3
NJ2102001,22,0
NJ2103002,3,2
NJ2103306,1,1
NJ2104001,4,0
NJ2104300,1,0
NJ2104302,2,1
NJ2104305,2,2
NJ2104311,2,0
